esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
4970729,2.02E+13,17.6,325.3,-22.5,3.624,3.605,33,31,7.89,23.75
5850084,2.02E+13,17.6,325.3,-22.5,3.623,3.605,33,31,7.92,23.8
5503753,2.02E+13,17.6,325.3,-22.5,3.624,3.605,33,31,7.93,23.84
8356365,2.02E+13,17.6,325.3,-22.5,3.624,3.606,33,31,7.95,23.92
7116934,2.02E+13,17.6,325.3,-22.5,3.624,3.607,33,31,7.97,23.97
4303750,2.02E+13,17.6,325.3,-22.5,3.625,3.606,33,31,7.99,24.02
7027707,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8,24.07
4268564,2.02E+13,17.6,325.3,-22.5,3.625,3.607,33,31,8.01,24.09
7120657,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8.03,24.15
7620374,2.02E+13,17.6,325.5,-22.5,3.625,3.607,33,31,8.05,24.21
8539198,2.02E+13,18,325.5,-22.5,3.626,3.608,33,31,8.07,24.26
9402479,2.02E+13,18,325.5,-22.5,3.626,3.608,33,31,8.08,24.31
4904971,2.02E+13,18,325.5,-22.5,3.627,3.608,33,31,8.099999,24.36
9371693,2.02E+13,18,325.7,-22.5,3.627,3.608,33,31,8.12,24.41
9600945,2.02E+13,18,325.7,-22.5,3.627,3.608,33,31,8.13,24.46
4047449,2.02E+13,18,325.7,-22.5,3.627,3.609,33,31,8.15,24.51
8906717,2.02E+13,18,325.7,-22.5,3.628,3.61,33,31,8.17,24.56
2151745,2.02E+13,18,325.8,-22.5,3.627,3.609,33,31,8.19,24.63
3904382,2.02E+13,18,325.7,-22.5,3.628,3.61,33,31,8.2,24.68
6412124,2.02E+13,18,325.8,-22.5,3.628,3.609,33,31,8.22,24.71
9579135,2.02E+13,18,325.8,-22.5,3.628,3.61,33,31,8.23,24.76
3526792,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.25,24.81
2103254,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.28,24.88
8767465,2.02E+13,18.4,325.8,-22.5,3.628,3.61,33,31,8.29,24.93
4927630,2.02E+13,18.4,325.8,-22.5,3.629,3.61,33,31,8.3,24.98
3661095,2.02E+13,18.4,325.8,-22.5,3.629,3.611,33,31,8.33,25.03
8681532,2.02E+13,18.4,325.8,-22.5,3.63,3.611,33,31,8.34,25.08
2847811,2.02E+13,18.4,326,-22.5,3.63,3.613,33,31,8.349999,25.13
1779780,2.02E+13,18.4,326,-22.5,3.63,3.612,33,31,8.37,25.17
9038095,2.02E+13,18.4,326,-22.5,3.631,3.613,33,31,8.389999,25.22
6839807,2.02E+13,18.4,326,-22.5,3.631,3.613,33,31,8.4,25.27
7513206,2.02E+13,18.8,326,-22.5,3.63,3.613,33,31,8.42,25.32
9651531,2.02E+13,18.8,326,-22.5,3.631,3.613,33,31,8.44,25.37
9066880,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.46,25.44
4023183,2.02E+13,18.8,326.1,-22.5,3.632,3.613,33,31,8.48,25.49
1667896,2.02E+13,18.8,326.1,-22.5,3.631,3.614,33,31,8.49,25.54
4907994,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.51,25.59
8544912,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.53,25.64
4339735,2.02E+13,18.8,326.1,-22.5,3.633,3.614,33,31,8.54,25.69
7670282,2.02E+13,18.8,326.1,-22.5,3.632,3.614,33,31,8.559999,25.74
2534249,2.02E+13,18.8,326.1,-22.5,3.633,3.615,33,31,8.58,25.79
2892603,2.02E+13,18.8,326.1,-22.5,3.633,3.615,33,31,8.59,25.84
2451809,2.02E+13,19.2,326.3,-22.5,3.633,3.615,33,31,8.61,25.89
1986587,2.02E+13,19.2,326.3,-22.5,3.633,3.615,33,31,8.63,25.94
5345683,2.02E+13,19.2,326.3,-22.5,3.634,3.616,33,31,8.639999,25.99
2211634,2.02E+13,19.2,326.3,-22.5,3.634,3.615,33,31,8.66,26.06
1119614,2.02E+13,19.2,326.3,-22.5,3.634,3.615,33,31,8.679999,26.11
8689860,2.02E+13,19.2,326.3,-22.5,3.634,3.617,33,31,8.7,26.16
5481838,2.02E+13,19.2,326.3,-22.5,3.634,3.617,33,31,8.71,26.21
5187868,2.02E+13,19.2,326.3,-22.5,3.635,3.616,33,31,8.73,26.26
7546366,2.02E+13,19.2,326.4,-22.5,3.634,3.617,33,31,8.75,26.31
5407577,2.02E+13,19.2,326.3,-22.5,3.635,3.618,33,31,8.76,26.36
1634517,2.02E+13,19.6,326.4,-22.5,3.634,3.617,33,31,8.78,26.41
7511668,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.8,26.46
2225529,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.809999,26.5
2719439,2.02E+13,19.6,326.4,-22.5,3.635,3.618,33,31,8.83,26.55
6475803,2.02E+13,19.6,326.4,-22.5,3.635,3.619,33,31,8.849999,26.6
7314718,2.02E+13,19.6,326.6,-22.5,3.635,3.619,33,31,8.86,26.65
8726154,2.02E+13,19.6,326.4,-22.5,3.636,3.619,33,31,8.88,26.7
9884932,2.02E+13,19.6,326.4,-22.5,3.635,3.619,33,31,8.9,26.75
2725835,2.02E+13,19.6,326.4,-22.5,3.636,3.619,33,31,8.91,26.8
9251926,2.02E+13,19.6,326.6,-22.5,3.635,3.619,33,31,8.94,26.87
7848461,2.02E+13,19.6,326.6,-22.5,3.636,3.62,33,31,8.95,26.92
2450078,2.02E+13,20,326.4,-22.5,3.636,3.62,33,31,8.97,26.97
8294063,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,8.99,27.02
8369555,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,9,27.07
7946065,2.02E+13,20,326.6,-22.5,3.636,3.62,33,31,9.02,27.12
2860677,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.04,27.17
5319961,2.02E+13,20,326.6,-22.5,3.636,3.621,33,31,9.05,27.22
8693478,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.07,27.27
9401194,2.02E+13,20,326.6,-22.5,3.637,3.622,33,31,9.09,27.32
6864613,2.02E+13,20,326.7,-22.5,3.636,3.622,33,31,9.099999,27.37
6383107,2.02E+13,20,326.7,-22.5,3.638,3.621,33,31,9.12,27.42
7109071,2.02E+13,20,326.6,-22.5,3.637,3.621,33,31,9.139999,27.47
5544644,2.02E+13,20.4,326.7,-22.5,3.638,3.621,33,31,9.16,27.54
8796946,2.02E+13,20.4,326.7,-22.5,3.639,3.623,33,31,9.17,27.59
7932903,2.02E+13,20.4,326.7,-22.5,3.637,3.623,33,31,9.19,27.64
5511788,2.02E+13,20.4,326.7,-22.5,3.639,3.622,33,31,9.21,27.69
2177313,2.02E+13,20.4,326.7,-22.5,3.639,3.624,33,31,9.22,27.74
4155559,2.02E+13,20.4,326.7,-22.5,3.639,3.623,33,31,9.24,27.79
7684218,2.02E+13,20.4,326.7,-22.5,3.638,3.623,33,31,9.26,27.83
4774630,2.02E+13,20.4,326.7,-22.5,3.638,3.623,33,31,9.27,27.88
8889063,2.02E+13,20.4,326.7,-22.5,3.638,3.624,33,31,9.29,27.93
1667198,2.02E+13,20.4,326.7,-22.5,3.639,3.624,33,31,9.3,27.98
3918469,2.02E+13,20.4,326.7,-22.5,3.639,3.625,33,31,9.32,28.03
5137159,2.02E+13,20.8,326.7,-22.5,3.639,3.624,33,31,9.34,28.08
9198706,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.349999,28.13
7484631,2.02E+13,20.8,326.7,-22.5,3.639,3.625,33,31,9.37,28.2
5047224,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.4,28.25
7612366,2.02E+13,20.8,326.9,-22.5,3.64,3.625,33,31,9.41,28.3
1943326,2.02E+13,20.8,326.9,-22.5,3.639,3.625,33,31,9.429999,28.35
4773595,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.45,28.4
8710352,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.46,28.45
6946930,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.48,28.5
9080203,2.02E+13,20.8,326.9,-22.5,3.64,3.626,33,31,9.5,28.55
1310541,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.51,28.6
2051880,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.53,28.65
2151405,2.02E+13,21.2,326.9,-22.5,3.64,3.626,33,31,9.55,28.7
9830354,2.02E+13,21.2,326.9,-22.5,3.64,3.628,33,31,9.559999,28.75
7366688,2.02E+13,21.2,326.9,-22.5,3.641,3.626,33,31,9.58,28.8
3690401,2.02E+13,21.2,326.9,-22.5,3.64,3.627,33,31,9.599999,28.87
2666943,2.02E+13,21.2,327.1,-22.5,3.64,3.628,33,31,9.62,28.92
8966239,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.63,28.97
1060291,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.65,29.02
6178031,2.02E+13,21.2,327.1,-22.5,3.641,3.629,33,31,9.66,29.07
6720753,2.02E+13,21.2,327.1,-22.5,3.641,3.628,33,31,9.679999,29.12
5465287,2.02E+13,21.6,327.1,-22.5,3.641,3.627,33,31,9.7,29.16
4722963,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.71,29.21
2353637,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.73,29.26
4542365,2.02E+13,21.6,327.1,-22.5,3.642,3.629,33,31,9.75,29.31
4235947,2.02E+13,21.6,327.1,-22.5,3.642,3.629,33,31,9.76,29.36
3346938,2.02E+13,21.6,327.1,-22.5,3.642,3.628,33,31,9.78,29.41
1377083,2.02E+13,21.6,327.1,-22.5,3.643,3.629,33,31,9.809999,29.48
9206532,2.02E+13,21.6,327.2,-22.5,3.642,3.629,33,31,9.82,29.53
3574851,2.02E+13,21.6,327.1,-22.5,3.643,3.63,33,31,9.83,29.58
1881770,2.02E+13,21.6,327.2,-22.5,3.642,3.629,33,31,9.86,29.63
2564911,2.02E+13,22,327.1,-22.5,3.643,3.629,33,31,9.87,29.68
7028441,2.02E+13,22,327.1,-22.5,3.643,3.629,33,31,9.889999,29.73
2162299,2.02E+13,22,327.1,-22.5,3.643,3.63,33,31,9.91,29.78
5859533,2.02E+13,22,327.2,-22.5,3.642,3.63,33,31,9.92,29.83
4317364,2.02E+13,22,327.2,-22.5,3.643,3.63,33,31,9.94,29.88
1176150,2.02E+13,22,327.2,-22.5,3.643,3.629,33,31,9.95,29.93
6226034,2.02E+13,22,327.2,-22.5,3.643,3.631,33,31,9.98,30
4366553,2.02E+13,22,327.2,-22.5,3.644,3.63,33,31,9.99,30.05
3217970,2.02E+13,22,327.2,-22.5,3.643,3.63,33,31,10.01,30.1
7786095,2.02E+13,22,327.2,-22.5,3.644,3.63,33,31,10.02,30.15
4705451,2.02E+13,22,327.2,-22.5,3.644,3.631,33,31,10.04,30.2
1699715,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.06,30.25
7648104,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.07,30.3
4635698,2.02E+13,22.4,327.2,-22.5,3.644,3.631,33,31,10.09,30.35
3923928,2.02E+13,22.4,327.4,-22.5,3.644,3.631,33,31,10.11,30.4
8791850,2.02E+13,22.4,327.4,-22.5,3.645,3.631,33,31,10.12,30.45
1824270,2.02E+13,22.4,327.4,-22.5,3.644,3.632,33,31,10.14,30.49
2321993,2.02E+13,22.4,327.2,-22.5,3.645,3.632,33,31,10.16,30.54
7906889,2.02E+13,22.4,327.4,-22.5,3.644,3.632,33,31,10.18,30.61
5923518,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.19,30.66
4264640,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.22,30.71
6087939,2.02E+13,22.4,327.4,-22.5,3.645,3.632,33,31,10.23,30.76
2097707,2.02E+13,22.8,327.4,-22.5,3.645,3.632,33,31,10.24,30.81
9090606,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.27,30.86
4833980,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.28,30.91
9998981,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.29,30.96
1968884,2.02E+13,22.8,327.4,-22.5,3.646,3.632,33,31,10.31,31.01
4775619,2.02E+13,22.8,327.4,-22.5,3.645,3.633,33,31,10.33,31.06
7165535,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.35,31.11
6108765,2.02E+13,22.8,327.5,-22.5,3.646,3.633,33,31,10.37,31.17
5431268,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.38,31.22
8807066,2.02E+13,22.8,327.4,-22.5,3.646,3.633,33,31,10.4,31.28
2366312,2.02E+13,23.2,327.4,-22.5,3.646,3.634,33,31,10.42,31.33
6533184,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.43,31.38
8146919,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.45,31.44
9240795,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.47,31.48
9131704,2.02E+13,23.2,327.5,-22.5,3.647,3.634,33,31,10.48,31.53
8258612,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.5,31.58
5663108,2.02E+13,23.2,327.5,-22.5,3.646,3.634,33,31,10.52,31.64
6649705,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.54,31.69
5226944,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.55,31.74
8829161,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.58,31.79
6295415,2.02E+13,23.2,327.5,-22.5,3.647,3.635,33,31,10.59,31.84
2486127,2.02E+13,23.6,327.5,-22.5,3.647,3.635,33,31,10.61,31.91
3297805,2.02E+13,23.6,327.5,-22.5,3.647,3.635,33,31,10.63,31.96
8025036,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.01
6067782,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.04
5570215,2.02E+13,23.6,327.7,-22.5,3.648,3.636,33,31,10.68,32.11
4150137,2.02E+13,23.6,327.5,-22.5,3.648,3.635,33,31,10.7,32.16
1851465,2.02E+13,23.6,327.7,-22.5,3.648,3.635,33,31,10.71,32.21
8612143,2.02E+13,23.6,327.5,-22.5,3.648,3.636,33,31,10.73,32.26
1256772,2.02E+13,23.6,327.7,-22.5,3.648,3.636,33,31,10.74,32.31
6326627,2.02E+13,23.6,327.7,-22.5,3.649,3.636,33,31,10.77,32.37
9547336,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.78,32.43
2660497,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.8,32.48
7264751,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.81,32.53
4974779,2.02E+13,24,327.7,-22.5,3.648,3.636,33,31,10.83,32.58
4575807,2.02E+13,24,327.7,-22.5,3.649,3.635,33,31,10.85,32.62
9976151,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.86,32.67
1258066,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.88,32.72
8999662,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.9,32.77
3839404,2.02E+13,24,327.7,-22.5,3.65,3.637,33,31,10.91,32.82
3416621,2.02E+13,24,327.7,-22.5,3.65,3.637,33,31,10.93,32.89
6905541,2.02E+13,24,327.7,-22.5,3.649,3.637,33,31,10.96,32.94
1104463,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,10.97,32.99
3913179,2.02E+13,24.4,327.8,-22.5,3.65,3.637,33,31,10.98,33.04
2011252,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.01,33.09
6076670,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.02,33.14
1890363,2.02E+13,24.4,327.7,-22.5,3.651,3.639,33,31,11.04,33.19
5997459,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.06,33.24
7179065,2.02E+13,24.4,327.8,-22.5,3.651,3.639,33,31,11.07,33.29
4506034,2.02E+13,24.4,327.8,-22.5,3.651,3.638,33,31,11.09,33.34
7461794,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.1,33.39
3320247,2.02E+13,24.4,327.8,-22.5,3.65,3.638,33,31,11.12,33.44
2118414,2.02E+13,24.8,327.8,-22.5,3.65,3.638,33,31,11.14,33.5
8679380,2.02E+13,24.8,327.8,-22.5,3.651,3.638,33,31,11.16,33.55
2409826,2.02E+13,24.8,327.8,-22.5,3.651,3.638,33,31,11.17,33.6
7817859,2.02E+13,24.8,328,-22.5,3.651,3.639,33,31,11.19,33.65
6935812,2.02E+13,24.8,327.8,-22.5,3.651,3.639,33,32,11.21,33.7
5155934,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.23,33.77
5808039,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.24,33.82
4193479,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.27,33.87
1859460,2.02E+13,24.8,328,-22.5,3.652,3.639,33,32,11.27,33.91
4861447,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.29,33.97
6675795,2.02E+13,24.8,328,-22.5,3.651,3.639,33,32,11.32,34.02
7296683,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.33,34.07
5164549,2.02E+13,25.2,328,-22.5,3.652,3.639,33,32,11.34,34.12
3898980,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.37,34.17
6186530,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.39,34.24
8842700,2.02E+13,25.2,328,-22.5,3.652,3.639,33,32,11.4,34.29
2890933,2.02E+13,25.2,328,-22.5,3.652,3.64,33,32,11.42,34.34
7556587,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.44,34.39
8170464,2.02E+13,25.2,328,-22.5,3.653,3.64,33,32,11.45,34.44
8958839,2.02E+13,25.2,328.2,-22.5,3.652,3.64,33,32,11.47,34.48
1792624,2.02E+13,25.2,328,-22.5,3.653,3.641,33,32,11.49,34.53
2838084,2.02E+13,25.6,328.2,-22.5,3.654,3.64,33,32,11.5,34.58
8471653,2.02E+13,25.6,328,-22.5,3.653,3.64,33,32,11.52,34.63
4105012,2.02E+13,25.6,328.2,-22.5,3.653,3.641,33,32,11.54,34.7
2834438,2.02E+13,25.6,328,-22.5,3.654,3.641,33,32,11.56,34.75
8161363,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.57,34.8
2016392,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.59,34.85
5098975,2.02E+13,25.6,328.2,-22.5,3.654,3.642,33,32,11.61,34.9
2968857,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.62,34.95
2095458,2.02E+13,25.6,328.2,-22.5,3.654,3.641,33,32,11.64,35
6992976,2.02E+13,25.6,328.2,-22.5,3.653,3.642,33,32,11.65,35.05
3059726,2.02E+13,25.6,328.2,-22.5,3.654,3.642,33,32,11.67,35.1
2896987,2.02E+13,26,328.3,-22.5,3.654,3.642,33,32,11.69,35.15
7903886,2.02E+13,26,328.2,-22.5,3.654,3.642,33,32,11.7,35.2
6808795,2.02E+13,26,328.2,-22.5,3.654,3.643,33,32,11.73,35.26
5239236,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.75,35.31
1547224,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.76,35.36
8402166,2.02E+13,26,328.3,-22.5,3.654,3.643,33,32,11.78,35.42
2022698,2.02E+13,26,328.2,-22.5,3.655,3.643,33,32,11.8,35.47
9150409,2.02E+13,26,328.3,-22.5,3.655,3.643,33,32,11.81,35.52
9820762,2.02E+13,26,328.3,-22.5,3.655,3.642,33,32,11.83,35.57
3992691,2.02E+13,26,328.3,-22.5,3.656,3.643,33,32,11.85,35.63
8608385,2.02E+13,26.4,328.2,-22.5,3.655,3.643,33,32,11.87,35.68
3443841,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.88,35.73
1918100,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.9,35.78
9091743,2.02E+13,26.4,328.3,-22.5,3.655,3.643,33,32,11.92,35.83
3071699,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.93,35.88
9319901,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.95,35.93
1466557,2.02E+13,26.4,328.3,-22.5,3.656,3.643,33,32,11.97,35.98
6841106,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,11.99,36.05
2866748,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.01,36.1
9328629,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.02,36.15
7589250,2.02E+13,26.4,328.3,-22.5,3.656,3.644,33,32,12.04,36.2
9666597,2.02E+13,26.8,328.3,-22.5,3.656,3.644,33,32,12.06,36.25
7823660,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.07,36.3
6535290,2.02E+13,26.8,328.5,-22.5,3.657,3.644,33,32,12.08,36.34
8836927,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.11,36.39
3366363,2.02E+13,26.8,328.3,-22.5,3.657,3.644,33,32,12.13,36.46
6962786,2.02E+13,26.8,328.5,-22.5,3.656,3.646,33,32,12.14,36.51
4821714,2.02E+13,26.8,328.5,-22.5,3.657,3.645,33,32,12.16,36.57
3990185,2.02E+13,26.8,328.5,-22.5,3.657,3.645,33,32,12.18,36.61
5654142,2.02E+13,26.8,328.5,-22.5,3.657,3.645,33,32,12.19,36.66
6985154,2.02E+13,26.8,328.5,-22.5,3.657,3.645,33,32,12.21,36.71
2817368,2.02E+13,27.2,328.5,-22.5,3.657,3.646,33,32,12.23,36.76
9044406,2.02E+13,27.2,328.5,-22.5,3.657,3.645,33,32,12.24,36.81
4681905,2.02E+13,27.2,328.5,-22.5,3.657,3.646,33,32,12.26,36.87
6153695,2.02E+13,27.2,328.5,-22.5,3.657,3.646,33,32,12.28,36.92
6012875,2.02E+13,27.2,328.5,-22.5,3.657,3.645,33,32,12.3,36.97
9330222,2.02E+13,27.2,328.5,-22.5,3.658,3.646,33,32,12.31,37.03
3795699,2.02E+13,27.2,328.6,-22.5,3.657,3.646,33,32,12.33,37.08
9481325,2.02E+13,27.2,328.6,-22.5,3.657,3.645,33,32,12.35,37.13
1853161,2.02E+13,27.2,328.6,-22.5,3.657,3.646,33,32,12.36,37.18
5446583,2.02E+13,27.2,328.5,-22.5,3.658,3.646,33,32,12.38,37.23
